Time,UUID,RSSI
20231101 11:15:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60
20231101 11:15:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64
20231101 11:15:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71
20231101 11:15:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74
20231101 11:15:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20231101 11:15:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-81
20231101 11:15:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-52
20231101 11:15:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61
20231101 11:15:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70
20231101 11:15:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71
20231101 11:15:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76
20231101 11:15:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20231101 11:15:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-81
20231101 11:16:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-52
20231101 11:16:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61
20231101 11:16:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71
20231101 11:16:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74
20231101 11:16:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76
20231101 11:16:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20231101 11:16:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-81
20231101 11:16:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55
20231101 11:16:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61
20231101 11:16:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63
20231101 11:16:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65
20231101 11:16:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74
20231101 11:16:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75
20231101 11:16:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20231101 11:16:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61
20231101 11:16:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63
20231101 11:16:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-65
20231101 11:16:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65
20231101 11:16:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74
20231101 11:16:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75
20231101 11:16:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20231101 11:16:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61
20231101 11:16:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-65
20231101 11:16:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66
20231101 11:16:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70
20231101 11:16:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74
20231101 11:16:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75
20231101 11:16:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78
20231101 11:16:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55
20231101 11:16:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61
20231101 11:16:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62
20231101 11:16:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72
20231101 11:16:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76
20231101 11:16:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20231101 11:16:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-87
20231101 11:16:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55
20231101 11:16:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62
