Time,UUID,RSSI
20220321 01:25:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-43
20220321 01:25:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-73
20220321 01:25:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-74
20220321 01:25:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-77
20220321 01:25:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-84
20220321 01:25:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-85
20220321 01:25:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-43
20220321 01:25:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-64
20220321 01:25:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66
20220321 01:25:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67
20220321 01:25:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-85
20220321 01:25:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-85
20220321 01:25:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-43
20220321 01:25:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-61
20220321 01:25:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66
20220321 01:25:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70
20220321 01:25:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-85
20220321 01:25:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-88
20220321 01:25:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-43
20220321 01:25:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59
20220321 01:25:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62
20220321 01:25:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-69
20220321 01:25:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-85
20220321 01:25:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-88
20220321 01:25:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-46
20220321 01:25:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59
20220321 01:25:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62
20220321 01:25:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-69
20220321 01:25:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-88
20220321 01:25:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-89
20220321 01:25:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-45
20220321 01:25:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59
20220321 01:25:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62
20220321 01:25:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-69
